EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
35,112.9,114.14,112.6,113.89,0,1
36,113.79,113.79,112.25,112.62,0,1
37,115.53,115.87,113.85,114.37,0,1
38,114.25,116,113.99,115.29,0,1
39,114.51,115.43,113.55,114.48,0,1
42,115.41,115.69,114.17,114.73,0,1
43,116.45,116.61,114.98,115.16,0,1
44,119.46,119.87,116.64,116.69,0,1
45,119.47,120.46,119.02,120.05,0,1
46,120.68,120.71,119.71,120.48,0,1
49,127.6,128.92,121.23,121.46,0,1
50,127.87,132.59,126.62,128.35,0,1
51,130.27,130.36,125.19,126.24,0,1
52,129.47,131.75,129.02,130.35,0,1
53,132.87,132.89,129.5,130.1,0,1
57,138.5,139.06,134.55,134.58,0,1
58,143.86,146.3,140.87,141.46,0,1
59,143.81,144.75,142.16,144.22,0,1
60,139.99,144.51,138.57,143.25,0,1
63,145.32,146.73,140.77,141.05,0,1
64,146.41,149.65,145,148.4,0,1
65,139.64,146.45,138.86,146.28,0,1
66,143.01,144.11,140.14,142.22,0,1
67,141.11,143.5,139.87,143.35,0,1
70,141.23,141.95,138.12,139.77,0,1
71,139.04,140.48,138.74,139.16,0,1
72,137.26,138.51,133.58,137.36,0,1
73,138.58,139.01,136.4,136.99,0,1
74,140,140,137.8,139.4,0,1
77,143.207,143.692,135.729,137.907,0,1
78,143.78,145,142.34,143.89,0,1
79,144.51,146.01,144.19,144.69,0,1
80,144.71,147.26,143.11,143.86,0,1
81,148.48,148.85,144.65,145.3,0,1
84,151.9,152.08,146.78,149.3,0,1
85,150.85,154.47,150.85,152.99,0,1
86,146.21,152.04,145.93,151.1,0,1
87,146.93,149.32,145.37,147.02,0,1
88,145.48,147.97,144.47,147.37,0,1
92,147.71,147.84,144.97,145.9,0,1
93,145.617,148.651,145.544,148.501,0,1
94,147.62,147.75,144.11,144.55,0,1
95,147.97,148.6,146.88,147.98,0,1
98,146.53,148.15,145.36,148.05,0,1
99,145.746,147.053,145.32,146.548,0,1
100,149.28,149.47,145.9,146.11,0,1
101,150.29,153.22,149.88,152.52,0,1
102,150.44,151.55,149.74,150.47,0,1
105,149.62,150.8,148.73,149.85,0,1
106,154.8,155.02,150.75,150.9,0,1
107,155.844,156.1481,150.7491,152.6322,0,1
108,156.81,158.74,155.45,156.87,0,1
109,151.05,154.47,148.02,153.03,0,1
112,147.78,151.49,147.33,151.04,0,1
113,147.9,148.85,145.9,147.36,0,1
114,148.32,148.97,146.05,148.72,0,1
115,146.6,148.56,146.49,148.56,0,1
116,143.74,146.27,143.35,145.92,0,1
119,145.6591,146.1038,143.906,143.9159,0,1
120,149.45,149.61,145.41,145.65,0,1
121,148.5,149.71,147.65,148.85,0,1
122,148.72,149.35,147.48,147.63,0,1
123,146.03,149.11,145.51,148.6,0,1
126,145.48,147.68,145.1,146.65,0,1
127,145.64,146.19,144.11,145.83,0,1
128,142.7,146.02,142.3,145.5,0,1
129,141.88,143.15,140.17,142.8,0,1
130,144.716,144.955,140.679,141.538,0,1
133,141.86,146.24,141.74,144.76,0,1
134,142.68,143.75,141.53,142.3,0,1
135,142.41,143.14,141.86,142.61,0,1
136,139.86,140.11,137.36,137.82,0,1
137,139.86,140.58,139.67,140.35,0,1
140,136.87,140.59,136.54,140.48,0,1
141,139.65,139.73,136.92,137.94,0,1
142,141.14,142.23,138.09,138.65,0,1
143,141.15,141.86,139.85,141.13,0,1
144,141.65,142.37,141.19,141.6,0,1
147,144.08,144.42,140.98,140.98,0,1
148,143.49,144.61,142.8,143.55,0,1
149,142.86,144.11,142.04,143.97,0,1
150,142.98,143.61,142.36,142.81,0,1
151,144.08,144.85,143.08,143.11,0,1
155,143.41,144.55,143.26,144.36,0,1
156,147.29,147.6,142.5,142.8,0,1
157,147.55,149.49,146.53,147.27,0,1
158,149.4,149.4,148.13,148.49,0,1
161,154.72,155.55,150.35,150.72,0,1
162,155.68,157.61,152.93,154.35,0,1
163,151.35,156.48,150,154.21,0,1
164,151.16,153.22,148.81,149.61,0,1
165,149.95,152.1,149.79,151.86,0,1
168,151.74,152.85,150.2,150.35,0,1
169,153.8,155.49,152.46,152.92,0,1
170,155.79,156.72,152.83,154.05,0,1
171,155.53,159.45,154.93,155.59,0,1
172,157.52,158.45,156.14,156.34,0,1
175,156.98,160.31,156.12,159.59,0,1
176,156.81,159.05,156.53,157.32,0,1
177,152.85,157.39,152.65,156.95,0,1
178,154.66,155.2,152.89,153.19,0,1
179,158.07,158.59,155.99,156.95,0,1
182,159.18,159.89,156.24,156.66,0,1
183,155.34,160.48,155.21,159.82,0,1
184,155.2,157.29,153.85,156.19,0,1
185,156.22,157.08,154.89,156.91,0,1
186,156.34,158.18,155.11,157.24,0,1
189,155.17,157.25,154.42,156.5,0,1
190,152.9,156.17,152.28,155.15,0,1
191,150.33,153.44,149.35,152.45,0,1
192,148.571,150.849,145.197,150.849,0,1
193,147.92,149.96,146.12,149.8,0,1
196,152.35,152.45,147.13,148.6,0,1
197,151.49,153.83,151.22,152.33,0,1
198,154.2,154.78,151.83,151.85,0,1
199,151.45,155.41,150.45,154.84,0,1
200,169.78,173.04,166.33,172.73,0,1
203,174.15,174.48,170.92,171.51,0,1
204,173.28,173.53,171.26,172.72,0,1
205,177.54,177.82,172.92,172.97,0,1
206,176.35,178.37,175.66,178.12,0,1
207,178.91,179.3,177.33,177.46,0,1
TIMEZONE_OFFSET=-300
a1130792400,185.88,187.19,179.58,179.94,0,1
1,189.5,191.76,184.32,185.74,0,1
2,189.65,192.31,188.4,190.66,0,1
3,192.78,193.1,190.5,191.01,0,1
4,195.02,195.7,192.53,194.8,0,1
7,197.32,198.54,195.88,197.35,0,1
8,194.76,197.6,194.1,196.93,0,1
9,189.39,193.95,188.83,193.14,0,1
10,195.35,195.48,188.53,188.99,0,1
11,195,198.25,194.23,197.36,0,1
14,198.29,198.91,195.57,195.86,0,1
15,196.2,198.3,195.28,196.99,0,1
16,198.88,199.23,196.86,197.9,0,1
17,201.52,201.7,199.57,200.7,0,1
18,199.9,202.05,199.73,201.54,0,1
21,204.48,204.79,196.55,199.39,0,1
22,208.03,208.45,202.91,204.12,0,1
23,211.22,212.15,207.68,208.31,0,1
25,214.1,214.16,212.44,212.68,0,1
28,211.53,215.4,211.01,214.7,0,1
29,201.57,212.99,200.87,212.02,0,1
30,202.2538,204.0208,197.5822,201.9279,0,1
31,206.838,207.5123,203.9409,204.3954,0,1
32,208.64,209.56,206.72,208.26,0,1
35,202.72,208.54,201.94,208.29,0,1
36,202.07,208,200.65,204.15,0,1
37,201.91,203.15,199.31,202.88,0,1
38,205.12,205.12,201.12,202.45,0,1
39,204.4,207.68,204.08,207.29,0,1
42,206.1,207.397,204.77,207.108,0,1
43,208.54,208.79,205.61,206.04,0,1
44,209.27,209.66,207.54,208.31,0,1
45,211.05,211.36,208.04,209.35,0,1
46,214.86,216.03,211.16,212.46,0,1
49,212.09,222.88,209.84,215.88,0,1
50,214.66,215.88,212.12,213.72,0,1
51,212.95,218.21,210.14,216.56,0,1
52,215.804,216.214,212.752,215.667,0,1
53,215.25,216.03,214.18,215.86,0,1
57,212.11,215.71,211.17,215.71,0,1
58,213.13,213.68,210.42,211.96,0,1
59,209.86,214.15,209.38,213.78,0,1
60,207.22,208.9,206.66,208.43,0,1
64,217.4,217.62,208.9,211.05,0,1
65,222.4,224.26,219.66,221.73,0,1
66,225.39,225.55,220.53,222.78,0,1
67,232.6,235.01,226.39,228.21,0,1
70,233.2166,236.4633,230.2395,232.9718,0,1
71,234.65,234.89,230.79,231.98,0,1
72,235.58,237.32,234.36,235.4,0,1
73,231.58,237.26,230.52,236.62,0,1
74,232.89,233.21,230.57,231.92,0,1
78,233.32,234.72,231.03,231.3,0,1
79,222.2325,228.4513,221.4034,223.4264,0,1
80,218.004,226.518,216.284,225.359,0,1
81,199.5303,219.795,197.1726,219.1306,0,1
84,213.54,213.98,202.66,203.49,0,1
85,221.29,222.25,217.02,217.8,0,1
86,216.28,226.89,214.4,225.4,0,1
87,216.915,219.775,211.568,219.55,0,1
88,216.53,218.89,214.28,217.28,0,1
91,213.2,216.42,212.29,214.4,0,1
92,216.1137,219.5802,211.7745,215.0697,0,1
93,200.69,200.8,193.57,194.32,0,1
94,197.82,203.05,197.79,201.71,0,1
95,190.587,196.753,186.099,196.613,0,1
98,192.36,194.76,189.59,192.46,0,1
99,183.776,191.658,181.491,191.304,0,1
100,184.36,185.16,177.16,184.06,0,1
101,179.21,187.01,177.88,185.41,0,1
102,181.12,182.07,176.39,180.79,0,1
105,172.68,175.12,170.77,173.15,0,1
106,171.49,175.67,171.03,172.49,0,1
107,171.02,172.83,168.75,170.46,0,1
108,183.05,183.32,172.07,172.66,0,1
109,184.19,185.88,181.63,184.75,0,1
113,183.11,186.58,182.37,183.04,0,1
114,182.56,184.29,181.75,183.39,0,1
115,188.85,190.43,182.51,182.62,0,1
116,188.51,189.84,186.56,188.46,0,1
119,194.992,195.654,189.95,190.444,0,1
120,181.13,198.57,169.09,196.4,0,1
121,182.22,184.54,180.47,184.1,0,1
122,188.04,190.36,180.92,181.96,0,1
123,188.9,193.43,187.69,191.96,0,1
126,183.87,191.51,183.39,190.26,0,1
127,182.04,184.04,178.9,182.33,0,1
128,176.7631,179.835,175.0953,176.7905,0,1
129,171.33,179.09,170.58,177.52,0,1
130,168.58,172.08,165.61,171.58,0,1
133,168.36,172.88,167.56,170.29,0,1
134,175.404,176.009,166.144,168.404,0,1
135,172.08,175.97,170.09,175.21,0,1
136,169.22,174.2,168.78,174.13,0,1
137,169.73,170.72,167.3,169.23,0,1
140,173.92,174.87,170.6,171,0,1
141,169.79,175.65,169.37,174.83,0,1
142,169.94,171.88,168.58,169.71,0,1
143,170.77,172.7,169.93,171,0,1
144,182.72,184.86,181.07,184.13,0,1
147,184.66,185.67,182.32,183.36,0,1
148,188.41,188.74,185.4,185.67,0,1
149,197.29,199.3,189.57,189.78,0,1
150,194.03,196.55,191.61,194.4,0,1
151,194.8,195.74,191.82,194.18,0,1
TIMEZONE_OFFSET=-240
a1144094400,194.66,196.04,193.77,194.57,0,1
1,201.97,202.25,193.88,194.76,0,1
2,203.791,207.078,201.209,203.898,0,1
3,205.38,206.74,202.51,203.04,0,1
4,202.88,206.22,201.81,206,0,1
7,207.98,208.38,202.42,203.34,0,1
8,204.63,209.34,202.91,208,0,1
9,204.27,205.46,202.39,204.3,0,1
10,200.88,204.68,200.05,204.11,0,1
14,203.21,206.04,200.22,201.52,0,1
15,201.92,204.71,200.55,203.76,0,1
16,205.04,206.61,203.16,206.08,0,1
17,207.29,207.79,203.9,205.3,0,1
18,218.33,225.13,217.87,224.23,0,1
21,220.03,222.13,218.04,219.48,0,1
22,213.37,220.3,212.79,219.6,0,1
23,212.77,214.8,211.55,213.66,0,1
24,209.8,213.24,209.49,211.24,0,1
25,208.761,212.652,207.942,209.103,0,1
28,199.25,209.51,199.08,209.03,0,1
29,197.2,201.04,194.01,200.34,0,1
30,196.89,200.55,195.24,197.98,0,1
31,197.18,199.24,195.91,197.32,0,1
32,196.95,200.14,195.69,198.6,0,1
35,197.19,198.36,194.83,197.36,0,1
